#TrigId,#TrigTime,#Col,#Row,#ToA,#ToT[arb],#ToTtotal[arb],#Trig-ToA[arb],#Centroid,#cent_X,#cent_Y,#centStdev_X,#centStdev_Y,#centStdev_ToA,
1,1822443162581,135,158,1838380027648,500,500,15936865067,1,135.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,128,173,1838387259392,325,325,15944096811,1,128.500000,173.500000,0.500000,0.500000,0,
1,1822443162581,162,161,1838395131136,250,250,15951968555,1,162.500000,161.500000,0.500000,0.500000,0,
1,1822443162581,159,163,1838424538880,275,275,15981376299,1,159.500000,163.500000,0.500000,0.500000,0,
1,1822443162581,142,181,1838425021696,275,275,15981859115,1,142.500000,181.500000,0.500000,0.500000,0,
1,1822443162581,141,158,1838431906048,325,325,15988743467,1,141.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,152,196,1838439318528,200,200,15996155947,1,152.500000,196.500000,0.500000,0.500000,0,
1,1822443162581,138,172,1838449323264,100,100,16006160683,1,138.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,128,177,1838458457344,200,200,16015294763,1,128.500000,177.500000,0.500000,0.500000,0,
1,1822443162581,147,146,1838459509504,125,125,16016346923,1,147.500000,146.500000,0.500000,0.500000,0,
1,1822443162581,160,142,1838460038400,225,225,16016875819,1,160.500000,142.500000,0.500000,0.500000,0,
1,1822443162581,162,141,1838475551488,250,250,16032388907,1,162.500000,141.500000,0.500000,0.500000,0,
1,1822443162581,150,195,1838489051392,50,50,16045888811,1,150.500000,195.500000,0.500000,0.500000,0,
1,1822443162581,169,170,1838495827968,250,250,16052665387,1,169.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,176,158,1838518819840,275,275,16075657259,1,176.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,168,157,1838532696320,300,300,16089533739,1,168.500000,157.500000,0.500000,0.500000,0,
1,1822443162581,129,160,1838533287424,350,350,16090124843,1,129.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,153,191,1838589542400,250,250,16146379819,1,153.500000,191.500000,0.500000,0.500000,0,
1,1822443162581,166,154,1838596378624,250,250,16153216043,1,166.500000,154.500000,0.500000,0.500000,0,
1,1822443162581,171,175,1838615100672,175,175,16171938091,1,171.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,146,175,1838692869120,275,275,16249706539,1,146.500000,175.500000,0.500000,0.500000,0,
1,1822443162581,134,172,1838708853248,250,250,16265690667,1,134.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,158,155,1838754949120,175,175,16311786539,1,158.500000,155.500000,0.500000,0.500000,0,
1,1822443162581,161,158,1838815556352,50,50,16372393771,1,161.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,173,181,1838846705920,175,175,16403543339,1,173.500000,181.500000,0.500000,0.500000,0,
1,1822443162581,171,177,1838898348800,175,175,16455186219,1,171.500000,177.500000,0.500000,0.500000,0,
1,1822443162581,148,177,1838905787392,300,300,16462624811,1,148.500000,177.500000,0.500000,0.500000,0,
1,1822443162581,172,153,1838925977344,200,200,16482814763,1,172.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,168,153,1839089618944,175,175,16646456363,1,168.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,179,189,1839127731456,225,225,16684568875,1,179.500000,189.500000,0.500000,0.500000,0,
1,1822443162581,167,164,1839178295040,50,50,16735132459,1,167.500000,164.500000,0.500000,0.500000,0,
1,1822443162581,126,152,1839192851456,275,275,16749688875,1,126.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,139,179,1839242227712,300,300,16799065131,1,139.500000,179.500000,0.500000,0.500000,0,
1,1822443162581,128,160,1839300942848,150,150,16857780267,1,128.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,128,166,1839372838912,175,175,16929676331,1,128.500000,166.500000,0.500000,0.500000,0,
1,1822443162581,146,145,1839411667968,250,250,16968505387,1,146.500000,145.500000,0.500000,0.500000,0,
1,1822443162581,153,158,1839420841728,250,250,16977679147,1,153.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,174,168,1839445264896,25,25,17002102315,1,174.500000,168.500000,0.500000,0.500000,0,
1,1822443162581,133,156,1839570431488,225,225,17127268907,1,133.500000,156.500000,0.500000,0.500000,0,
